,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
0,2000-10-12,55.90852976855989,56.63767719916969,53.80197906316249,54.24794541120681,46867154.099361055,0.0,1.0,18.742536270076002,18.932258267482,17.910422246365,18.100144243771,90219600.0
1,2000-10-13,54.249616554185586,55.1451906082166,52.003374290999325,53.31412572673336,54445004.79245361,0.0,1.0,17.933721439029,18.266567048513,17.351241622431,17.890451509795998,104521200.0
2,2000-10-16,53.84823808386192,53.77966102149681,49.9877823676753,50.80089209651724,68262920.61590089,0.0,1.0,17.807240107425002,17.910422246365,16.495828406055,16.768761805833,119759000.0
3,2000-10-17,51.498562469775344,52.89208342100807,50.307145776302974,50.93997511706013,68088257.42854469,0.0,1.0,17.26803022006,17.454423761371,16.7254918766,16.788732542402002,81276600.0
4,2000-10-18,50.44720430944405,53.67362884104885,49.18483728040659,52.46462850467099,58831833.99235815,0.0,1.0,16.519127598719002,17.724028705053,16.123041323433,17.224760290827,110536400.0
5,2000-10-19,58.200432499531814,61.63196954308794,57.503494627937826,61.2275269701822,99944365.24562156,0.0,1.0,19.451497418278,20.699668453845998,19.305045350105,20.596486314905,256993200.0
6,2000-10-20,61.493932335747566,65.63008925506242,60.41322517004987,64.47865485847221,66891864.63770527,0.0,1.0,20.406764317499,22.007751699120004,20.346852107792,21.698205282299,160378600.0
7,2000-10-23,63.530945983619056,65.77422023112936,60.713435238080244,62.124964179126415,75963850.6868222,0.0,1.0,21.508483284892996,22.051021628353,20.200400039619,20.679697717276,185170400.0
8,2000-10-24,62.540781496461946,63.160454436853996,60.38592995678546,61.21247995236623,76224667.91819097,0.0,1.0,20.846120522019,20.949302660959,20.033977234876,20.470004983301,94427400.0
9,2000-10-25,61.91820788616906,63.68728654207754,60.35180263249509,62.0170084418041,73321207.11849125,0.0,1.0,20.616457051474,21.115725465701,20.117188637248002,20.38679358093,167603800.0
10,2000-10-26,62.13732319215987,65.7719759173296,61.70413888258981,65.11913347958614,67076859.02602808,0.0,1.0,20.303582178559,21.654935353066,20.240341512757002,21.448571075186,114826600.0
