,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
0,2000-10-12,25.683026810408833,27.71660530092231,23.088394123728097,25.61134884496093,8876890.101903424,0.0,1.0,28.38,28.81,24.63,25.13,8032600.0
1,2000-10-13,26.39653050494778,27.734638318693154,23.79376927956183,25.516225479733563,8986315.823283054,0.0,1.0,24.25,28.88,23.5,28.44,7633400.0
2,2000-10-16,26.902018194051877,28.006942163955216,24.542891332454012,25.918535363541444,9521756.813851856,0.0,1.0,28.13,28.31,24.13,24.31,7147700.0
3,2000-10-17,25.572317616485392,28.171746466829433,23.409807792353117,26.148062605305505,13245289.253573837,0.0,1.0,24.88,25.19,20.88,21.94,15140500.0
4,2000-10-18,24.142884513160023,28.369853249317263,22.129279303949488,26.45664006056573,16616465.79248245,0.0,1.0,19.88,25.38,19.38,25.13,18788700.0
5,2000-10-19,25.363618197256912,28.725056942257932,23.413113607203,27.05976344554537,14855965.929255301,0.0,1.0,26.56,28.13,24.19,27.75,10874900.0
6,2000-10-20,27.702647873591964,29.47602121136751,25.858052391727277,27.952285620414525,12375941.043837702,0.0,1.0,27.69,31.25,27.13,30.81,11621900.0
7,2000-10-23,28.72486157871452,30.67751319685302,27.038464785001004,29.143303979884603,12019530.028593682,0.0,1.0,29.69,30.38,27.63,30.0,10199600.0
8,2000-10-24,29.269752713745543,32.231516601716024,27.773038537723277,30.556210686896172,12253155.764139045,0.0,1.0,29.88,33.88,28.81,29.56,13676600.0
9,2000-10-25,30.602992318311454,34.487131449737426,29.70204357572411,32.051210534572085,23584827.349754,0.0,1.0,34.0,36.5,31.75,31.88,28572900.0
10,2000-10-26,32.33054456843842,36.57067036505799,31.82066080203625,33.59068390782904,16003466.157759305,0.0,1.0,32.19,37.5,31.0,36.88,17825500.0
11,2000-10-27,33.91606410515343,36.723860292664654,32.32283745693423,35.12391749684056,15414998.354704717,0.0,1.0,33.94,37.5,33.88,35.63,12370700.0
12,2000-10-30,35.33471507880507,36.50500873214271,32.49537935363645,36.49458145263145,11908317.41262786,0.0,1.0,33.06,34.38,30.27,32.88,12510200.0
13,2000-10-31,36.579927852671624,38.57833446524732,34.46540022790539,37.5741463918736,10306374.565618081,0.0,1.0,32.69,36.88,32.06,36.63,9919500.0
14,2000-11-01,37.40333950315557,41.02363417551259,36.658513087504964,38.173591377501225,9436976.921776218,0.0,1.0,35.81,40.0,35.69,37.38,11099200.0
15,2000-11-02,37.5681760274613,40.9725484282394,36.769768569975625,38.10805353978509,8057145.0977233965,0.0,1.0,38.06,39.88,37.5,39.75,6989700.0
