,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
0,2000-10-12,20.662851671320915,21.69363669278211,19.817638790331785,20.697891328885728,18230871.49118657,0.0,1.0,1.3050590368414,1.337187521254,1.2530108920928997,1.2851393765056,297766000.0
1,2000-10-13,20.457875044894536,21.426718636416076,19.592449617417202,20.43016954350165,17882959.305772185,0.0,1.0,1.3012036187119,1.4213641504151002,1.2851393765056,1.4175087322856,311938200.0
2,2000-10-16,20.2216342169884,21.119902299644988,19.334267246184776,20.123520181340506,17471400.833924215,0.0,1.0,1.4335729744919,1.4939745251877001,1.3731714237961998,1.3815248297435,205044000.0
3,2000-10-17,19.973394292213065,20.797588936665644,19.063567568151356,19.80231512693768,17006838.086908937,0.0,1.0,1.3937336538203,1.4097978960266,1.2652197161696999,1.2928502127646,150430000.0
4,2000-10-18,19.743833008174263,20.495325678341075,18.8145268401564,19.50477641079809,16498838.15538583,0.0,1.0,1.2491554739633999,1.3532517634603998,1.204818165474,1.2928502127646,208566400.0
5,2000-10-19,19.554807276967516,20.237909689301503,18.611788740005686,19.25793578538605,15953305.797499267,0.0,1.0,1.2311635226923001,1.2729305524288,1.1765450991908,1.2170269895508001,376681200.0
6,2000-10-20,19.44521966044995,20.071288318189247,18.498419028146408,19.110888502933417,15386757.488460254,0.0,1.0,1.2247378258098,1.3089144549709,1.2170269895508001,1.2530108920928997,197815800.0
7,2000-10-23,19.45346341723678,20.04061366961776,18.516973122886757,19.11195788882559,14815962.457310235,0.0,1.0,1.3024887580884,1.3211232790477,1.2491554739633999,1.3089144549709,137823000.0
8,2000-10-24,19.56099337699653,20.125123075895534,18.6466479600451,19.237832906229592,14239429.673460135,0.0,1.0,1.3294766849950002,1.3410429393835002,1.2086735836035,1.212529001733,201112800.0
9,2000-10-25,19.731219246122684,20.28379897802841,18.84645604486262,19.44312493214467,13653286.291782334,0.0,1.0,1.2247378258098,1.2330912317571001,1.1848985051381,1.1887539232676,165992400.0
