,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
22,2010-07-30,21.02193370197246,21.25928988283371,20.40511499994276,20.84431180001013,619228.6069226037,0.0,1.0,20.2,20.44,19.55,19.94,426900.0
23,2010-08-02,20.83895971480925,21.024163712560703,20.201346382480203,20.60349441919648,603223.8021491308,0.0,1.0,20.5,20.97,20.333,20.92,718100.0
24,2010-08-03,20.62458449063641,20.774198893332937,19.971072529679805,20.338325254640193,615976.3328856782,0.0,1.0,21.0,21.95,20.82,21.95,1230500.0
25,2010-08-04,20.39271672181769,20.522637707615395,19.728496690496424,20.0660380400757,646047.8378991575,0.0,1.0,21.95,22.18,20.85,21.26,913000.0
26,2010-08-05,20.144123831180863,20.26311208789938,19.47398186654798,19.784144752210377,685169.581782756,0.0,1.0,21.54,21.55,20.05,20.45,796200.0
27,2010-08-06,19.87958201739217,19.987671108280196,19.207476869978116,19.489441267980617,723897.8697038412,0.0,1.0,20.1,20.1601,19.52,19.59,741900.0
28,2010-08-09,19.615071902016126,19.71770670010069,18.94634377939783,19.204986105946375,758602.1982451526,0.0,1.0,19.9,19.98,19.45,19.6,812700.0
29,2010-08-10,19.366392396863755,19.4763241016013,18.707833147244354,18.953888455870352,788673.5350964733,0.0,1.0,19.65,19.65,18.82,19.03,1281300.0
30,2010-08-11,19.15262877802162,19.286423897494835,18.512433915778836,18.762288759823758,808988.6666716044,0.0,1.0,18.69,18.88,17.85,17.9,797600.0
31,2010-08-12,18.99246519605602,19.171247115925567,18.38000230165867,18.656108659183566,815304.726363727,0.0,1.0,17.8,17.9,17.39,17.6,691000.0
32,2010-08-13,18.883948165816825,19.124353005999918,18.307042756809768,18.627276800402626,808266.5994878158,0.0,1.0,18.18,18.45,17.6604,18.32,634000.0
33,2010-08-16,18.819577308602078,19.12935304707561,18.283959935213,18.657441566218456,789156.2625878021,0.0,1.0,18.45,18.8,18.2616,18.78,485800.0
34,2010-08-17,18.79339936003327,19.179058232475317,18.3025000822934,18.735834166038398,761309.9995290163,0.0,1.0,18.96,19.4,18.78,19.15,447900.0
