,0
1,0.856275304
2,0.857287449
3,0.857287449
4,0.857287449
5,0.857287449
6,0.857287449
7,0.857287449
8,0.857287449
9,0.857287449
10,0.857287449
11,0.857287449
12,0.857287449
13,0.857287449
14,0.857287449
15,0.857287449
16,0.857287449
17,0.857287449
18,0.857287449
19,0.857287449
20,0.857287449
21,0.857287449
22,0.857287449
23,0.857287449
24,0.857287449
25,0.857287449
26,0.857287449
27,0.857287449
28,0.857287449
29,0.857287449
30,0.857287449
31,0.857287449
32,0.857287449
33,0.857287449
34,0.857287449
35,0.857287449
36,0.857287449
37,0.857287449
38,0.857287449
39,0.857287449
40,0.857287449
41,0.857287449
42,0.857287449
43,0.857287449
44,0.860323887
45,0.860323887
46,0.860323887
47,0.860323887
48,0.860323887
49,0.860323887
50,0.860323887
