Open,High,Low,Close,Volume,trend,BOLLU,BOLLM,BOLLL,DEMA,MIDPOINT,MIDPRICE],SMA,T3,TEMA,TRIMA,WMA,ADX,ADXR,APO,AROONOSC,BOP,CCI,CMO,DX,MACD,MACDSIG,MACDHIST,MACDEXT,MACDEXTSIG,MACDEXTHIST,MACDFIX,MACDFIXSIG,MACDFIXHIST,MFI,MINUS_DI,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,STOH,STOL,STOCHFH,STOCHFL,STOKH,STOKL,TRIX,ULTOSC,WILLR,ATR,NATR,TRANGE,AD,ADOSC,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,HT_DCPERIOD,HT_DCPHASE,INPHASOR,QUADTATURE,SINE,LEADSINE,HT_TRENDMODE,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,SAR,SAREXT,AROONDOWN,AROONUP,OBV
14815.95781,14896.61419,14606.93754,14765.2104,316600.0009,1,14983.12193,14303.44742,13623.77291,14396.36134,13890.84168,13909.11736,13770.36563,13333.67943,14678.74332,13722.94184,14015.29529,40.59673994,35.51451253,846.291937,100,-0.175186402,175.8910565,70.21497014,67.48166144,91.7638755,376.1353261,284.3714506,434.8197204,1456.575022,1021.755302,213.5225165,414.6143184,201.0918018,100,6.269210717,1261.71,32.28879067,1688.491509,6.492522761,9.343577314,0.093435773,1.093435773,109.3435773,85.10748507,85.39240735,79.19290633,89.86771902,85.39240735,100,100,-0.106063172,55.31952902,-6.65337778,373.59546,2.530241357,329.59489,-1816661.233,-48837.41657,14771.17999,14751.77587,14756.25404,14758.49313,26.07455977,177.0643881,133.7206233,176.4040811,0.051213679,-0.669965319,1,13815.43653,12962.18912,14490.90467,13770.36563,14304.43968,13374.01636,13898.9614,13898.9614,0,100,750184.8915
14821.23633,15015.62728,14638.50658,14914.85404,311312.9343,1,15143.46556,14521.62466,13899.78376,14592.5375,14054.77507,13968.6239,13905.96428,13480.38357,14880.24409,13832.79822,14167.89375,42.65591213,36.36771085,875.0111066,85.71428571,0.248243361,148.3771746,72.43829858,69.42515061,93.27099011,400.9601882,307.6891981,430.8983126,1540.47914,1109.580828,219.1051163,460.034212,240.9290957,100,5.817409314,1309.28434,32.23615059,1686.898063,6.661199994,9.623149702,0.096231497,1.096231497,109.6231497,86.21914929,89.39231326,84.7102789,92.38466511,89.39231326,100,100,-0.08687999,59.28625696,-4.812460109,373.8472629,2.506543221,377.1207,-1671724.809,11189.77305,14847.55606,14827.06693,14856.3293,14870.96049,26.91688639,176.8203946,240.9508987,657.8483212,0.055466103,-0.666797783,1,13962.02553,13033.69635,14676.68332,13905.96428,14609.64686,13682.92398,14098.49196,14098.49196,14.28571429,100,1061497.826
14890.38907,15105.5328,14711.90114,15032.91697,302379.7287,1,15230.43593,14718.42083,14206.40573,14775.00222,14195.16528,14013.57666,14037.26577,13634.31946,15058.73656,13955.849,14318.15411,44.66926284,36.91409478,889.878224,92.85714286,0.362084442,129.755173,74.08208583,70.842822,84.97531362,413.9083401,328.9330265,388.8579989,1583.587731,1194.729732,218.7272513,499.4249382,280.6976869,100,5.381466352,1392.20253,31.53202611,1656.310864,6.716811135,10.20622883,0.102062288,1.102062288,110.2062288,87.04104291,91.81045821,88.86505961,93.17899051,91.81045821,100,100,-0.066635961,63.3038153,-3.32503419,375.2604341,2.496258277,393.63166,-1480909.048,95443.20417,14935.185,14908.71697,14950.11697,14970.81697,27.9730107,176.4303414,465.7886099,975.2897717,0.062261998,-0.661709,1,14104.81105,13104.23832,14832.71645,14037.26577,14648.74914,13727.53612,14281.91902,14281.91902,7.142857143,100,1363877.554
15016.94918,15211.54603,14830.1959,15147.3157,291621.2281,1,15292.44281,14885.46328,14478.48375,14945.11122,14325.40805,14112.40009,14165.11592,13794.21373,15217.97491,14093.91406,14466.16077,46.65461123,37.85275666,896.0481238,100,0.341855187,117.9813498,75.60057436,72.46414028,71.75431468,418.6259198,346.8716052,320.0355095,1598.956603,1278.921093,213.7888788,533.3572708,319.5683921,100,4.991231276,1508.30465,31.26135954,1644.016175,6.701513955,11.05875378,0.110587538,1.110587538,111.0587538,87.80028718,92.39830225,91.20035791,91.63125113,92.39830225,100,100,-0.045516476,65.38229992,-2.921829002,375.6954124,2.480277165,381.35013,-1287522.625,182765.9059,15051.5017,15020.87097,15063.01921,15084.09333,29.23860349,176.0563297,725.2823891,997.1725618,0.068775696,-0.656800697,1,14243.81167,13172.97391,14970.45938,14165.11592,14673.67747,13751.18966,14446.64178,14446.64178,0,100,1655498.783
15178.96356,15380.71153,14983.0783,15288.2182,280502.5457,1,15391.71942,15029.70306,14667.6867,15111.54579,14446.89395,14303.72944,14292.59576,13958.81183,15371.58398,14245.77783,14615.90774,48.66970075,39.16006295,901.8405808,100,0.274762348,116.0016278,77.35999682,74.86586461,59.82800739,421.6566144,361.828607,245.145147,1606.697875,1361.552728,207.3378099,564.6039856,357.2661757,100,4.615411557,1654.95915,32.11082935,1695.751948,6.679147431,12.13913081,0.121391308,1.121391308,112.1391308,88.67999841,90.95223618,91.72033221,88.0464669,90.95223618,100,100,-0.023639446,66.14743545,-4.294097851,377.2623993,2.467667549,397.63323,-1137515.282,249603.356,15207.7429,15181.89492,15217.33601,15235.05656,30.71648432,172.0247556,938.3694515,707.85373,0.138745226,-0.602160031,1,14383.06588,13230.99495,15109.57965,14292.59576,14704.40451,13775.02003,14599.62263,14599.62263,0,100,1936001.328
15353.87939,15570.02528,15146.83022,15425.3922,269351.4898,1,15523.14261,15161.73942,14800.33624,15273.83858,14529.32563,14502.59627,14422.58309,14126.89834,15519.41216,14407.78184,14766.94726,50.71162335,40.52301083,912.3245324,100,0.168983093,114.4442315,78.95130226,77.25661713,48.97141465,423.0428753,374.0714607,169.8076266,1607.3022,1437.494573,199.5584416,593.1079703,393.5495287,100,4.248742018,1748.14774,33.11370352,1763.940559,6.688247184,12.78143229,0.127814323,1.127814323,112.7814323,89.47565113,88.05037634,90.46697159,84.473411,88.05037634,100,100,-0.001127393,66.85621784,-6.774833673,380.5433037,2.466992727,423.19506,-1052273.387,281377.1561,15374.03177,15358.42775,15380.74923,15391.90997,31.94406345,172.1628211,1034.32258,213.2010291,0.136358434,-0.604082124,1,14522.04272,13290.91571,15247.88772,14422.58309,14740.45389,13799.15587,14755.84041,14755.84041,0,100,2205352.818
15511.99956,15729.39508,15290.54908,15525.45528,259000.8061,1,15641.67011,15283.85967,14926.04923,15423.33737,14579.35717,14656.16349,14557.20743,14296.98657,15649.78353,14574.28409,14913.99689,52.73666259,41.85308942,928.8519277,100,0.030661599,113.2447281,80.05270902,79.06217262,35.52728389,418.4805655,382.9532817,90.21989781,1589.453748,1499.23385,188.5247403,616.3514945,427.8267542,100,3.902511879,1701.48745,33.37463067,1797.314605,6.739666617,12.30824226,0.123082423,1.123082423,112.3082423,90.02635451,84.15884498,87.72048584,79.95665704,84.15884498,100,100,0.021827075,66.28802812,-9.501201879,384.707782,2.477916267,438.846,-1033997.449,274610.8588,15514.34975,15509.97208,15515.13315,15517.71368,32.24191994,175.9212918,1003.310384,-235.8811848,0.071126779,-0.655021652,1,14655.83106,13364.03187,15369.50808,14557.20743,14779.70396,13823.66958,14918.67738,14918.67738,0,100,2464353.624
15594.70248,15804.06051,15359.37586,15553.50186,248752.4984,1,15692.04024,15387.97665,15083.91306,15544.42348,14593.38046,14701.89605,14693.95678,14466.84229,15741.88727,14738.32182,15046.83614,54.67465336,43.116961,946.4379849,100,-0.09265132,106.5762763,80.36287287,79.86853344,14.4588351,401.0268255,386.5679904,-6.780524137,1531.654153,1538.434677,170.8972696,629.7962547,458.8989851,100,3.583817049,1504.56575,32.02031581,1743.60042,6.798812676,10.70946396,0.10709464,1.10709464,110.709464,90.18143643,79.56726144,83.92549425,74.27171627,79.56726144,100,100,0.044905659,64.58950453,-11.36666341,388.991844,2.500992043,444.68465,-1065565.353,236833.8712,15577.91018,15581.71819,15572.31274,15567.61002,31.72608356,179.2837104,902.7543001,-432.3948607,0.012501286,-0.698211781,1,14775.5205,13450.81278,15450.40312,14693.95678,14818.39386,13848.53768,15080.82092,15080.82092,0,100,2713106.123
15538.65391,15733.51774,15293.75861,15470.18436,237808.9442,-1,15639.22639,15452.55038,15265.87437,15614.7972,14615.37316,14701.89605,14825.16573,14632.92313,15766.65077,14892.16547,15150.33315,56.02240156,44.15595603,953.4322715,78.57142857,-0.155697848,89.26165624,71.81591335,73.54312808,-19.76368359,361.8633859,381.6270695,-138.8332948,1408.150852,1546.984147,142.2673931,627.033177,484.7657838,93.90785082,4.49095216,1158.08091,29.45827791,1619.057533,6.785595543,8.091619195,0.080916192,1.080916192,108.0916192,85.90795668,71.18682745,78.30431129,59.33210904,71.18682745,0,66.66666667,0.067612083,61.78310657,-15.14638516,392.6180787,2.537901744,439.75913,-1112562.471,184895.6686,15509.02866,15513.63818,15499.15357,15491.91127,30.71228938,183.792772,798.5311853,-409.0260541,-0.066148024,-0.752331807,1,14868.14235,13570.82467,15457.92352,14825.16573,15031.47934,14041.90326,15225.46884,15225.46884,14.28571429,92.85714286,2475297.178
15392.80962,15569.32952,15142.24922,15319.2706,228456.4779,-1,15623.98918,15458.76086,15293.53254,15627.52403,14688.73484,14701.89605,14942.45331,14790.65115,15718.03,15028.23694,15216.2138,56.27707495,44.80483275,941.5652551,78.57142857,-0.172190148,62.09635065,57.27776413,59.58782914,-63.39255426,302.3863767,365.778931,-269.6995481,1254.873296,1524.572844,102.9957653,606.4880519,503.4922866,87.99105642,6.883627315,752.2513,27.18347261,1503.410566,6.645457204,5.164071554,0.051640716,1.051640716,105.1640716,78.63888207,53.45061328,68.06823405,26.74801453,53.45061328,0,33.33333333,0.08940026,58.58785326,-21.9926302,395.0796659,2.578971782,427.0803,-1151632.171,134408.2568,15355.91474,15355.78937,15343.61645,15337.52999,29.65607786,186.397939,729.0758391,-350.3812051,-0.111433185,-0.78149803,1,14928.29278,13719.59243,15418.53256,14942.45331,15175.37497,14325.27119,15804.06051,-15804.06051,7.142857143,85.71428571,2246840.7
