,0
0,0.0
1,0.652834008097166
2,0.652834008097166
3,0.652834008097166
4,0.652834008097166
5,0.652834008097166
6,0.652834008097166
7,0.652834008097166
8,0.6538461538461539
9,0.6538461538461539
10,0.6538461538461539
11,0.6538461538461539
12,0.6538461538461539
13,0.6548582995951417
14,0.6548582995951417
15,0.6548582995951417
16,0.6548582995951417
17,0.6548582995951417
18,0.6548582995951417
19,0.6548582995951417
20,0.6548582995951417
21,0.6548582995951417
22,0.6548582995951417
23,0.6558704453441295
24,0.6558704453441295
25,0.6558704453441295
26,0.6558704453441295
27,0.6558704453441295
28,0.6558704453441295
29,0.6558704453441295
30,0.6558704453441295
31,0.6558704453441295
32,0.6558704453441295
33,0.6558704453441295
34,0.6558704453441295
35,0.6558704453441295
36,0.6558704453441295
37,0.6558704453441295
38,0.6558704453441295
39,0.6558704453441295
40,0.6558704453441295
41,0.6558704453441295
42,0.6558704453441295
43,0.6558704453441295
44,0.6558704453441295
45,0.6558704453441295
46,0.6558704453441295
47,0.6558704453441295
48,0.6558704453441295
49,0.6558704453441295
50,0.6558704453441295
