Open,High,Low,Close,Volume,trend,BOLLU,BOLLM,BOLLL,DEMA,MIDPOINT,MIDPRICE],SMA,T3,TEMA,TRIMA,WMA,ADX,ADXR,APO,AROONOSC,BOP,CCI,CMO,DX,MACD,MACDSIG,MACDHIST,MACDEXT,MACDEXTSIG,MACDEXTHIST,MACDFIX,MACDFIXSIG,MACDFIXHIST,MFI,MINUS_DI,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,STOH,STOL,STOCHFH,STOCHFL,STOKH,STOKL,TRIX,ULTOSC,WILLR,ATR,NATR,TRANGE,AD,ADOSC,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,HT_DCPERIOD,HT_DCPHASE,INPHASOR,QUADTATURE,SINE,LEADSINE,HT_TRENDMODE,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,SAR,SAREXT,AROONDOWN,AROONUP,OBV
2408.033297,2447.420539,2392.847665,2423.949971,1083137.128,1,2450.490209,2390.882676,2331.275143,2379.204181,2316.586078,2308.05514,2298.555986,2289.697756,2404.01656,2281.896714,2332.839777,36.25753972,40.54848732,15.18902921,71.42857143,0.291659076,127.970038,44.94670187,51.01130016,19.83186469,42.49041197,22.65854729,46.96910162,54.6300952,7.660993577,13.63557148,47.97259657,34.33702509,70.67150875,7.916556551,214.727787,24.40337264,250.8871543,0.663833004,9.719610302,0.097196103,1.097196103,109.7196103,72.47335094,85.61518139,86.45984834,83.98955066,85.61518139,100,100,0.333637097,59.93120918,-8.420514735,73.46031243,3.03060349,54.572874,12731169.82,614977.0568,2418.062868,2420.134102,2421.406058,2422.042037,24.00492043,107.3183569,77.985234,108.9901025,0.954665475,0.464558353,1,2324.810516,2280.982809,2352.72642,2298.555986,2346.095523,2271.794098,2225.930338,2225.930338,28.57142857,100,25376945.75
2419.726379,2456.468521,2404.607028,2435.653157,1065846.587,1,2451.005585,2409.889199,2368.772814,2399.539194,2322.437671,2312.579131,2309.477527,2298.441946,2425.858451,2300.253181,2351.119399,37.41107003,40.37717169,32.19863565,78.57142857,0.307102189,110.771484,46.88459505,52.40696406,16.89001661,43.77106805,26.88105144,74.28844988,93.49208656,19.20363669,15.05512286,52.12944302,37.07432015,70.83966798,7.508647946,204.873468,24.04490941,242.0146253,1.40614375,9.183939992,0.0918394,1.0918394,109.18394,73.44229752,84.09073151,85.46128755,82.22957094,84.09073151,100,100,0.332159863,58.25192302,-7.233112854,71.91753961,2.952700363,51.861493,12941430.37,621882.131,2429.113771,2430.537774,2432.242902,2433.095466,23.95223794,121.087064,107.7736705,85.19614981,0.856383684,0.240447201,1,2339.589535,2282.859964,2364.168608,2309.477527,2350.573405,2273.763581,2252.509162,2252.509162,21.42857143,100,26442792.34
2436.922224,2472.423128,2419.573819,2455.029348,1060095.378,1,2463.353799,2425.646473,2387.939147,2420.277593,2332.125766,2320.556434,2323.564933,2309.311514,2447.721183,2321.732434,2370.526309,38.65668193,39.77898329,48.59693644,85.71428571,0.34261799,104.1949442,50.02134595,54.8496366,14.63611091,45.17619007,30.54007916,87.15124049,121.2657873,34.11454683,16.23786278,56.26452163,40.02665884,78.8030115,7.106784349,220.847049,24.37373458,240.6824733,2.118492602,9.884916244,0.098849162,1.098849162,109.8849162,75.01067297,83.39141336,84.36577542,83.95511848,83.39141336,100,100,0.331606589,58.20940609,-5.726660515,70.55552314,2.873917707,52.849309,13303727.95,683448.697,2445.98713,2445.998474,2449.008765,2450.513911,23.96635088,133.3016154,127.2499068,33.99010631,0.727753422,0.029638063,1,2354.98151,2286.773896,2384.06249,2323.564933,2355.796202,2275.814396,2281.063472,2281.063472,14.28571429,100,27502887.72
2456.847998,2492.192752,2435.314932,2479.217956,1063011.205,1,2488.111231,2441.548205,2394.985179,2442.49252,2344.22007,2330.441246,2342.776868,2322.109657,2471.173689,2344.926722,2391.280045,40.02004136,39.31288199,62.82311474,92.85714286,0.393298442,104.2125991,53.69747981,57.74371402,13.35144034,47.2293796,33.87793925,91.57305146,143.2388971,51.66584564,17.49020145,60.69689692,43.20669547,84.97409667,6.691695192,241.744749,24.98025627,243.2604921,2.730945342,10.80436397,0.10804364,1.10804364,110.804364,76.8487399,84.895613,84.12591929,88.50214957,84.895613,100,100,0.33201571,60.28961725,-4.010718763,69.57854434,2.806471459,56.87782,13881757.36,830421.7693,2465.89341,2463.753842,2468.908547,2471.485899,23.93694403,144.4012047,126.802923,-27.75596452,0.582105874,-0.163346706,1,2371.54637,2291.825703,2425.775863,2342.776868,2361.96729,2277.968219,2311.681017,2311.681017,7.142857143,100,28565898.92
2474.540025,2510.107794,2438.81385,2503.92147,1021701.915,1,2517.619952,2459.55438,2401.488809,2465.979725,2367.35058,2349.377705,2363.826817,2336.682105,2495.895637,2368.072953,2412.765992,41.46370897,39.04178369,78.52089992,100,0.412116981,102.4418049,57.16292556,60.23138783,12.6191749,49.65190788,37.03273298,92.03933956,163.24338,71.20404045,18.7381446,65.35177545,46.61363085,90.43832307,6.202659483,241.377662,24.99108425,243.7997846,3.403302958,10.66841938,0.106684194,1.106684194,110.6684194,78.58146278,89.06051377,85.78251338,94.72427324,89.06051377,100,100,0.333410564,65.2703342,-1.9244449,69.70107289,2.783676474,71.293944,14726148.87,1083724.255,2481.845785,2474.460822,2484.281038,2489.191146,23.77400576,154.1639059,108.614057,-66.86867578,0.435798178,-0.328271662,1,2389.196383,2298.064027,2460.507244,2363.826817,2369.064999,2280.245638,2344.173129,2344.173129,0,100,29587600.84
2494.624441,2530.24621,2449.030118,2524.418773,999330.1974,1,2543.744522,2479.648141,2415.551759,2489.397296,2379.300536,2359.561469,2384.801037,2352.855439,2519.993951,2390.463625,2434.178253,42.99323429,38.88453798,95.83481907,100,0.366852569,105.249637,59.84816226,62.87706345,11.68302396,51.63651293,39.95348897,88.93144677,180.6356155,91.70416878,19.63088185,69.81376394,50.1828821,90.697664,5.692310629,224.05765,24.97504039,246.5239303,4.141888757,9.740107662,0.097401077,1.097401077,109.7401077,79.92408113,92.8627302,88.93961899,95.3617678,92.8627302,100,100,0.335741222,70.51849327,-1.707076142,70.52357425,2.79365591,81.216092,15582070.7,1361166.374,2499.579886,2489.638164,2501.2317,2507.028468,23.50605013,161.9655772,84.78691118,-68.99158551,0.309588325,-0.453455109,1,2407.226035,2306.42918,2488.912368,2384.801037,2379.398841,2283.543381,2377.360062,2377.360062,0,100,30586931.03
2516.113573,2551.212755,2493.038805,2535.616674,1128446.394,1,2558.522487,2499.640844,2440.759202,2510.396131,2386.544941,2370.564857,2406.332064,2370.356177,2540.275971,2412.011377,2454.287005,44.59756541,38.83055291,110.2708678,100,0.335254886,117.3380889,61.27628131,65.45386996,9.671535991,52.04290896,42.37137296,78.82545588,190.6204631,111.7950072,19.62531833,73.37644013,53.75112179,95.69099481,5.352588226,194.996134,25.63547452,249.8816231,4.748725279,8.330958849,0.083309588,1.083309588,108.3309588,80.63814065,92.74614032,91.55646143,88.15237993,92.74614032,100,100,0.338834377,72.1294848,-4.316707023,69.64145824,2.746529432,58.17395,16105457.91,1517455.32,2523.995452,2522.12578,2526.622745,2528.871227,23.29690939,169.4523841,66.42181369,-41.15736257,0.1830526,-0.565721148,1,2424.344787,2319.906639,2509.669837,2406.332064,2457.507758,2327.034475,2407.937292,2407.937292,0,100,31715377.43
2538.544377,2572.783389,2542.146093,2541.162964,1271312.401,1,2562.333253,2516.867567,2471.401882,2527.997365,2401.853386,2394.536695,2428.024189,2388.813535,2555.648639,2432.443141,2472.264458,46.26352087,39.09219845,119.3700775,100,0.085470565,130.7153769,61.99726342,67.92094192,6.688750775,50.73231143,44.04356066,61.74226918,192.2872432,130.544974,18.62973478,75.76808108,57.1383463,100,5.141466507,164.919984,26.91350527,253.6035698,5.116409969,6.940367016,0.06940367,1.06940367,106.940367,80.99863171,86.83739942,90.81542332,76.99805054,86.83739942,100,100,0.342466139,69.42229077,-8.869848941,67.32183372,2.649252908,37.166715,14752554.49,1012971.953,2548.659206,2557.464741,2552.030815,2549.313853,23.35214683,171.633117,61.51377677,-3.548098536,0.145511204,-0.596688805,1,2439.920544,2332.37308,2523.666783,2428.024189,2499.335361,2370.109696,2436.592385,2436.592385,0,100,32986689.83
2575.974664,2608.738271,2565.768163,2546.250533,1204966.926,1,2560.355344,2530.274083,2500.192822,2542.718142,2423.305828,2433.065591,2448.288956,2407.823938,2567.153565,2451.519916,2488.02797,48.07083845,39.84704966,123.4605983,100,-0.691739732,135.1146398,62.6836038,71.56596698,3.470022322,48.38108856,44.91106624,40.97376254,188.5221789,147.5484163,16.95636397,77.17768554,60.22132157,100,4.772857391,146.541237,28.79858418,271.4439111,5.262312881,6.10662455,0.061066246,1.061066246,106.1066246,81.3418019,76.12552951,85.23635642,63.22615806,76.12552951,100,100,0.346440742,62.55559628,-17.78527486,67.33993895,2.644670588,67.575307,12452961.57,-17184.62224,2574.182908,2587.253217,2573.585656,2566.751875,23.80344817,174.6843238,68.22063646,18.93166431,0.092643016,-0.638557285,1,2454.097876,2346.223093,2533.704005,2448.288956,2522.792947,2408.280509,2463.830585,2463.830585,0,100,34191656.75
2603.908359,2635.5087,2565.655361,2554.383682,1070494.561,1,2560.538356,2540.366525,2520.194695,2555.862129,2447.502111,2468.166964,2466.433424,2427.027219,2576.84237,2469.279638,2502.173934,49.91865314,40.97599913,123.9533928,100,-0.708980812,128.4045988,63.80888168,73.94024406,0.79585237,45.9058817,45.11002933,21.13523062,182.9403409,161.8051103,15.06695612,78.02772425,62.96076813,100,4.331157163,140.493089,28.90904028,278.8254893,5.251193682,5.820192904,0.058201929,1.058201929,105.8201929,81.90444084,65.57351446,76.17881447,56.49633479,65.57351446,100,100,0.350631903,54.36499448,-24.23932605,68.90552667,2.697540199,89.258167,11036992.58,-887585.6602,2589.864026,2600.58203,2585.182581,2577.482856,24.66889688,176.5381473,77.24334606,17.34962831,0.060383972,-0.663118553,1,2467.469317,2357.661034,2542.894973,2466.433424,2528.334087,2418.809447,2492.812123,2492.812123,0,100,35262151.31
2576.405519,2609.495335,2535.392844,2569.842277,1085891.161,1,2573.291673,2549.451226,2525.610779,2569.555913,2473.042629,2487.42119,2482.806405,2446.189504,2587.77697,2485.895718,2515.961781,50.48803429,41.70146974,123.0547416,92.85714286,-0.088569789,99.37338997,65.91288448,57.88998926,-0.543597349,44.43053265,44.97412999,8.233465393,179.6068868,171.3734214,13.55274613,78.97764992,65.42490379,92.64140841,7.120983955,145.892306,26.69987636,258.9093829,5.180038059,6.01878371,0.060187837,1.060187837,106.0187837,82.95644224,57.87701836,66.52535411,53.90856223,57.87701836,100,100,0.355024583,51.89753868,-22.17149265,69.27673841,2.695758375,74.102491,10960739.13,-1187231.667,2572.783994,2572.44409,2571.576819,2571.143183,25.88937863,178.0981965,81.47390341,-5.010183115,0.033186637,-0.683250791,1,2481.119045,2367.026397,2554.871552,2482.806405,2530.409497,2421.599448,2521.351438,2521.351438,0,92.85714286,36348042.48
2539.485555,2574.269947,2509.08592,2590.09439,1166934.779,1,2595.869903,2560.346769,2524.823636,2584.887083,2494.901843,2499.762397,2498.081506,2465.214167,2601.372974,2501.575646,2530.266846,50.1199881,42.05768017,122.5798474,85.71428571,0.776399332,72.74597943,68.49683121,45.33538763,-0.574139177,44.25645602,44.8305952,2.076679934,179.9731406,177.8964607,12.63310663,80.3549389,67.72183227,84.97676238,9.364633889,154.441233,24.89750932,240.4158556,5.127329458,6.340854918,0.063408549,1.063408549,106.3408549,84.2484156,58.16077611,60.53710298,64.0774313,58.16077611,100,100,0.359661388,56.08462633,-16.72764162,68.98440188,2.663393355,65.184027,12694257.28,-650310.016,2553.233953,2541.677934,2557.816752,2565.886162,27.36543578,179.3233527,76.02814136,-36.5017333,0.011809448,-0.698706931,1,2495.649091,2375.626124,2570.526147,2498.081506,2533.393742,2424.394305,2635.5087,-2635.5087,0,85.71428571,37514977.25
2565.732342,2598.198332,2541.693521,2609.88653,1185955.058,1,2620.730094,2574.091482,2527.452871,2601.421114,2511.888562,2507.428023,2513.094166,2484.084388,2616.837607,2516.501812,2545.174182,50.06038123,42.59150815,123.9720604,78.57142857,0.781423515,89.29469874,70.82448771,49.2854919,-0.011789217,44.81585868,44.8276479,0.945225357,183.2920347,182.3468093,12.09696867,82.01824979,69.92128112,85.15220631,8.809480247,154.857182,25.93197965,247.1716795,5.155154075,6.307752782,0.063077528,1.063077528,106.3077528,85.41224385,65.90631399,60.64803615,79.73294844,65.90631399,100,100,0.364564846,58.31319142,-10.00235578,68.09300253,2.609040728,56.504811,14370849.41,161919.9753,2578.877681,2569.945927,2583.259461,2589.916228,29.02745253,178.9911226,62.27817524,-53.51470384,0.017607322,-0.694546908,1,2510.880749,2380.627686,2588.01965,2513.094166,2537.218381,2427.214907,2632.980244,-2632.980244,0,78.57142857,38700932.31
2617.933436,2647.65193,2596.624559,2629.861723,1166507.34,1,2644.895031,2590.81372,2536.73241,2618.962107,2526.905847,2520.249797,2528.520675,2502.830755,2633.776351,2530.883969,2560.74319,50.50691954,43.38222963,126.8057175,100,0.233762523,122.3863863,72.99328667,56.31191762,0.792379856,45.81812271,45.02574286,3.345175651,188.4980606,185.1528849,11.82938394,83.90146214,72.0720782,85.3146403,8.329269626,150.643767,29.80135626,278.9701575,5.243875117,6.076261534,0.060762615,1.060762615,106.0762615,86.49664334,76.990528,67.01920603,87.16120425,76.990528,100,100,0.369748844,57.64143974,-6.981910997,66.87402885,2.542872436,51.027371,14723973.4,591833.5155,2623.017912,2622.138245,2624.712737,2625.999984,30.95147559,177.7634857,48.15018164,-40.97852587,0.039024626,-0.678973564,1,2526.744879,2383.758859,2606.616127,2528.520675,2583.540052,2466.296193,2509.08592,2509.08592,0,100,39867439.65
2634.94814,2666.203505,2612.344992,2649.793068,1141984.585,1,2666.370801,2609.895598,2553.420395,2637.291804,2542.723113,2535.405267,2544.652325,2521.506687,2651.79765,2545.03227,2576.912842,51.0869687,44.24901936,127.9595894,100,0.275628256,128.5714093,74.9909756,58.62760778,1.609975719,47.03821251,45.42823679,6.108066126,192.589118,186.4810518,11.72855461,85.93309728,74.20454267,85.46073414,7.843292598,145.871598,30.07229399,277.5952927,5.258805071,5.825725756,0.058257258,1.058257258,105.8257258,87.4954878,85.48315586,76.12666595,89.55531489,85.48315586,100,100,0.375217126,60.66288874,-6.273187311,65.94434915,2.488660339,53.858513,15170043.26,855835.5093,2640.822426,2639.274249,2642.780522,2644.533658,33.23995456,175.536451,41.09377193,1.099046737,0.077824851,-0.649931679,1,2543.151304,2386.147742,2625.805879,2544.652325,2616.66656,2503.888785,2511.85724,2511.85724,0,100,41009424.24
2635.859409,2670.798785,2609.050055,2666.356975,1105703.07,1,2683.658886,2629.198537,2574.738189,2655.40426,2560.693162,2545.186302,2561.131169,2540.139785,2669.436355,2559.23224,2593.140129,51.66678777,45.16173485,126.0119648,100,0.493897866,125.7956996,76.54380771,59.20443572,1.97122429,47.89226715,45.92104286,6.305150891,193.0569202,186.7517693,11.50893904,87.80601609,76.29707704,85.58275992,7.316238688,141.938202,28.55157595,262.3623375,5.141693605,5.622609193,0.056226092,1.056226092,105.6226092,88.27190385,91.32326424,84.5989827,97.25327357,91.32326424,100,100,0.380924089,68.51152599,-1.768060743,65.64466206,2.461960746,61.74873,16116671.87,1187233.109,2645.516306,2639.92442,2648.735272,2653.140698,35.57274228,172.7286761,46.96156477,61.00045724,0.126568158,-0.611922965,1,2559.578727,2388.941686,2643.828588,2561.131169,2641.511767,2538.294531,2518.031091,2518.031091,0,100,42115127.31
2651.779064,2689.869923,2621.535199,2678.226524,1056404.841,1,2696.047451,2646.824964,2597.602477,2672.157641,2578.72224,2562.592428,2577.073824,2558.694276,2685.127974,2573.668736,2608.752843,52.37612069,46.19808103,122.4987575,100,0.387028124,131.0996062,77.61635082,61.59744866,1.557977452,47.86851468,46.31053722,3.768496923,190.2993941,186.5308972,10.90177842,89.18099699,78.27921857,85.66050009,6.773757865,142.60985,28.50388713,262.6933085,4.961822737,5.624266927,0.056242669,1.056242669,105.6242669,88.80817541,92.98359758,89.93000589,92.14220426,92.98359758,100,100,0.386768867,77.50301439,-4.5740211,65.83680935,2.458224081,68.334724,16813079.85,1436458.929,2660.352678,2655.702561,2663.210549,2666.964543,37.77531551,169.8591457,65.09597647,105.6708835,0.176068673,-0.571560926,1,2575.398433,2393.150366,2659.11656,2577.073824,2659.869146,2568.688184,2527.197152,2527.197152,0,100,43171532.15
2667.237174,2705.987317,2632.789399,2678.116333,1000599.579,-1,2697.481271,2660.470925,2623.460578,2684.821757,2591.073997,2572.400584,2591.280851,2576.984964,2695.168656,2588.264512,2622.225177,53.17380756,47.31875826,118.101632,100,0.148626618,124.4508738,77.53519152,63.54373686,-0.460015724,45.73551757,46.19553329,-4.239233965,181.5128488,185.7520827,9.28341329,89.25052519,79.9671119,85.67806874,6.24002401,136.953369,27.99290868,260.0468948,4.750609771,5.389397333,0.053893973,1.053893973,105.3893973,88.76759576,87.97019429,90.7590187,74.51510504,87.97019429,98.24446954,99.41482318,0.392518737,78.93651946,-10.43179336,66.36260282,2.477958183,73.197918,17051698.88,1483752.008,2671.032556,2669.388358,2672.297683,2673.752346,39.76272394,167.4263403,86.77800719,114.7518836,0.217694566,-0.536214896,1,2589.094153,2398.377366,2667.544029,2591.280851,2661.539133,2572.937055,2540.210974,2540.210974,0,100,42170932.57
2662.53402,2697.860241,2621.565141,2658.927255,945042.8136,-1,2688.351307,2666.284031,2644.216755,2689.438759,2601.322649,2577.508718,2602.352693,2594.575528,2694.337872,2602.471156,2631.244698,53.48675792,48.2399961,112.0411692,92.85714286,-0.047273875,88.59560872,63.52238201,57.55511249,-5.031976071,39.9055632,44.93753928,-20.69776342,162.8185666,183.51633,5.834087411,86.86194248,81.02785507,79.43486892,6.928417787,112.676722,25.71823623,241.4721166,4.477406931,4.425201705,0.044252017,1.044252017,104.4252017,81.761191,72.70346071,84.55241752,51.45307281,72.70346071,0,66.08148985,0.397752713,71.14122914,-18.31435826,67.07206691,2.522523577,76.2951,17032241,1362021.485,2660.221664,2659.712691,2659.450879,2659.319973,41.50363508,165.6510284,105.8619346,89.36333741,0.247827155,-0.509807802,1,2598.405233,2403.490008,2664.969421,2602.352693,2661.408539,2575.148842,2556.788608,2556.788608,0,92.85714286,41225889.76
2645.419483,2674.936649,2597.526612,2628.129003,895626.4707,-1,2698.815225,2661.951218,2625.087211,2684.698872,2606.921599,2599.513061,2609.760567,2610.822903,2681.40212,2615.464756,2634.681539,52.90091747,48.74924144,104.2631162,85.71428571,-0.22336225,42.00133338,43.89178893,45.28499165,-11.49677881,30.56656577,42.06334457,-36.09311808,143.4002526,179.4933707,0.566075653,81.69685357,81.13077791,73.49144751,8.895767414,73.745321,23.62096861,224.2241082,4.141710645,2.887010339,0.028870103,1.028870103,102.8870103,71.94589446,51.39445503,70.68937001,28.21518724,51.39445503,0,32.74815651,0.401996842,63.16421918,-36.56203712,67.81049334,2.58018131,77.410037,16844747.8,1128745.573,2636.502937,2636.231631,2633.530755,2632.180317,42.99752353,164.3345179,117.6540536,30.44162972,0.270020423,-0.489907741,1,2602.368403,2407.708353,2659.904634,2609.760567,2659.744562,2577.263735,2571.708479,2571.708479,0,85.71428571,40330263.29
2627.180162,2650.454479,2573.208166,2595.321742,856358.3611,-1,2711.678946,2647.744171,2583.809396,2671.967641,2609.694744,2607.536619,2614.025214,2625.020513,2658.891002,2626.31536,2632.756363,51.54530085,48.90441086,95.55323235,78.57142857,-0.412426416,-11.12169782,26.4742455,33.92228475,-18.24883627,19.25229924,37.50113551,-45.78175241,127.928928,173.7106804,-5.816977422,74.25616823,80.07314565,67.43359761,10.7156045,25.479465,21.7177339,208.2081005,3.776521414,0.99147972,0.009914797,1.009914797,100.9914797,63.23712275,32.10755463,52.06849012,16.65440382,32.10755463,0,-1.89E-14,0.404858943,58.70568716,-56.20354994,68.48448046,2.638766491,77.246313,16478694.93,814229.9167,2611.541137,2611.831323,2606.328129,2603.576532,44.00441528,166.321369,118.2737963,-59.22610204,0.236475782,-0.519837754,1,2601.428848,2411.703843,2656.665984,2614.025214,2656.523421,2579.245227,2705.987317,-2705.987317,0,78.57142857,39473904.92
2607.06869,2627.446041,2552.083813,2569.501987,834319.4271,-1,2705.688811,2625.999264,2546.309717,2654.616227,2612.238529,2607.536619,2616.04943,2636.577234,2631.934575,2634.049248,2626.819932,49.63435673,48.85259759,86.4615194,42.85714286,-0.498481852,-61.06996387,14.70619335,24.79208317,-23.4705496,8.162948511,31.63349811,-49.67812461,116.6251209,166.3032455,-12.21768289,65.63406587,77.85174876,60.90849693,12.06699688,-20.592403,20.02270162,193.3360933,3.403268879,-0.7950445,-0.007950445,0.992049555,99.2049555,57.35309667,18.72906175,34.0770238,11.31759417,18.72906175,0,-1.89E-14,0.406127434,54.45568183,-69.31658794,68.97574814,2.684401432,75.362228,16030041.41,468790.1261,2589.025133,2589.764927,2583.010614,2579.633457,43.67609183,171.5720631,104.6704694,-174.2735639,0.146565371,-0.595833358,1,2597.171933,2416.312345,2655.102193,2616.04943,2652.172349,2581.068405,2703.331734,-2703.331734,28.57142857,71.42857143,38639585.5
2586.181504,2610.769803,2539.141249,2560.79509,836394.8785,-1,2675.859339,2602.535015,2529.210692,2637.903196,2616.305103,2607.536619,2617.088327,2645.209668,2607.964684,2637.958279,2619.452687,47.47620239,48.69742776,77.23933523,42.85714286,-0.354417513,-84.65993653,10.956872,19.42019598,-25.34390208,-0.046379489,25.29752259,-49.89266785,107.3996423,157.2923102,-17.25156349,57.46353737,74.71510086,54.18644572,12.51101249,-49.09144,18.54146434,179.5263724,3.030168115,-1.88097986,-0.018809799,0.981190201,98.11902014,55.478436,13.87162587,21.56941408,13.64287961,13.87162587,0,-1.89E-14,0.405860497,50.12594178,-73.7385459,69.16523427,2.700928104,71.628554,15699343.23,179634.4164,2574.221912,2574.955526,2570.235381,2567.875308,42.5193683,182.7271103,71.43224325,-292.7246741,-0.047579084,-0.739949458,1,2592.321687,2423.041528,2654.166061,2617.088327,2647.603486,2582.731782,2697.281817,-2697.281817,21.42857143,64.28571429,37803190.62
2568.890117,2602.464317,2535.448334,2567.305243,858553.7916,1,2634.031927,2584.210613,2534.389299,2625.599346,2619.510807,2607.536619,2618.011296,2651.003341,2591.880089,2637.741815,2612.814943,45.36084523,47.92443976,67.99169107,42.85714286,-0.023649194,-83.01082384,13.24034605,17.86120217,-23.55605077,-4.147540874,19.4085099,-48.28181734,98.56316467,146.844982,-20.16709948,50.88125602,71.0483555,47.52150609,12.02540329,-62.55648,17.25528649,166.7030601,2.659707101,-2.378698448,-0.023786984,0.976213016,97.62130155,56.62017302,15.93296024,16.17788262,22.83840693,15.93296024,6.933292275,2.311097425,0.404308935,48.42081233,-70.43224483,69.01171633,2.68809938,67.015983,15657038.6,31552.47908,2568.527003,2568.956326,2568.405965,2568.130784,40.86944201,190.3481487,10.42789949,-374.1888022,-0.179628962,-0.822622146,1,2588.986162,2432.741226,2653.36693,2618.011296,2643.588574,2584.253202,2687.793383,-2687.793383,14.28571429,57.14285714,38661744.41
