,0
0,0
1,1
2,2
3,4
4,5
5,6
6,8
7,9
8,10
9,13
10,14
11,16
12,17
13,18
14,19
15,22
16,24
17,26
18,28
19,31
20,34
21,37
22,38
23,39
24,41
25,42
26,43
27,45
28,47
29,48
30,49
31,51
32,54
33,62
34,63
35,67
36,72
37,74
38,75
39,76
40,78
